# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2084
#@/user_id	fwar34_sync
a 	啊	c=2 d=0.331211 t=2084
hen chang 	很長	c=1 d=0.913931 t=2084
hen hao de 	很好的	c=0 d=0.0822835 t=2084
hou 	後	c=5 d=1.38016 t=2084
hou xu 	後續	c=4 d=0.932394 t=2084
hu ru 	呼入	c=1 d=1 t=1933
hua 	化	c=2 d=1.73712 t=1841
hua 	話	c=0 d=0.1 t=1778
hua le 	花了	c=1 d=0.946485 t=2084
hua wen 	華文	c=1 d=0.666977 t=2084
huan hao 	換好	c=1 d=0.97531 t=2084
huan jing 	環境	c=8 d=1.4909 t=2084
huan le 	換了	c=1 d=1 t=2084
huan shang qu 	換上去	c=1 d=0.336216 t=2084
huan xia 	換下	c=0 d=0.0292293 t=2084
hui 	會	c=4 d=2.24503 t=1935
hui ba 	會把	c=1 d=1 t=1677
hui fu 	回覆	c=3 d=2.98012 t=2058
hui lai 	回來	c=2 d=1.18268 t=2039
hui tui 	回退	c=6 d=1.42152 t=1940
hui tui ba 	回退吧	c=1 d=1 t=1924
hui yi 	會議	c=15 d=3.46761 t=2084
huo zhe 	或者	c=3 d=2.3832 t=867
ji 	機	c=2 d=1.0185 t=1794
ji ben 	基本	c=1 d=1 t=1143
ji ben shang 	基本上	c=1 d=1 t=1960
ji lei 	基類	c=1 d=1 t=1107
ji qi 	機器	c=8 d=5.95148 t=1880
ji qi shang 	機器上	c=1 d=1 t=1819
ji xu 	繼續	c=2 d=0.852144 t=2084
jia 	加	c=1 d=1 t=1647
jia 	家	c=1 d=1 t=1646
jia ge 	加個	c=1 d=1 t=981
jia ru 	加入	c=4 d=1.71337 t=2084
jian ge 	間隔	c=1 d=0.729789 t=2084
jian kai 	見開	c=3 d=1.18831 t=2084
jian pan 	鍵盤	c=4 d=1.8197 t=2084
jiang 	將	c=2 d=0.628135 t=2084
jiao jie 	交接	c=1 d=1 t=1984
jie 	解	c=0 d=0.1 t=1265
jie chu 	解除	c=2 d=1.17907 t=1212
jie jue 	解決	c=1 d=0.0955997 t=2084
jie ru 	接入	c=0 d=0.1 t=1941
jie ru hao 	接入號	c=1 d=1 t=1942
jie shu 	結束	c=1 d=1 t=668
jie tu 	截圖	c=1 d=1 t=1744
jie zhe ge 	解這個	c=1 d=1 t=1266
jin 	金	c=1 d=1 t=1951
jin tian 	今天	c=4 d=1.7187 t=2022
jin yong 	禁用	c=1 d=0.597501 t=2084
jing yin 	靜音	c=27 d=3.76663 t=2084
jiu 	就	c=13 d=2.54149 t=2084
jiu bu xing 	就不行	c=1 d=1 t=804
jiu shi 	就是	c=4 d=0.946485 t=2084
jiu wo 	就我	c=1 d=1 t=1531
jiu yong 	就用	c=1 d=1 t=1106
jiu zhe ge 	就這個	c=1 d=0.423162 t=2084
jiu zhi dao le 	就知道了	c=1 d=0.418952 t=2084
ju ti 	具體	c=1 d=1 t=742
kai de 	開得	c=1 d=1 t=1092
kai shi 	開始	c=2 d=0.826959 t=2084
kai xia 	開下	c=2 d=1.0137 t=1811
kan 	看	c=8 d=1.09984 t=2084
kan ba 	看吧	c=1 d=1 t=1595
kan bu dao 	看不到	c=1 d=1 t=1908
kan chu lai 	看出來	c=1 d=1 t=1566
kan cuo 	看錯	c=1 d=0.182684 t=2084
kan dui zhan 	看堆棧	c=1 d=1 t=1844
kan kan 	看看	c=2 d=1.40454 t=1972
kan xia 	看下	c=6 d=0.475133 t=2084
ke 	克	c=1 d=0.650509 t=2084
ke hu 	客戶	c=2 d=0.402524 t=2084
ke hu duan 	客戶端	c=22 d=2.24815 t=2084
ke jiang 	可講	c=1 d=0.474734 t=2084
ke neng 	可能	c=1 d=1 t=1685
ke qin 	克欽	c=1 d=0.189191 t=2084
ke ting 	可聽	c=1 d=0.472367 t=2084
ke yi 	可以	c=8 d=2.79746 t=2084
ken ding 	肯定	c=6 d=1.46178 t=2084
kong 	空	c=1 d=1 t=1904
kong zhi 	控制	c=1 d=1.09851 t=655
kong zhi xiang 	控制項	c=1 d=1 t=653
lai 	來	c=3 d=1.13553 t=1351
lai le 	來了	c=1 d=0.802519 t=2084
lai miao 	來秒	c=1 d=0.737123 t=2084
lao de 	老的	c=4 d=1.4105 t=2084
le 	了	c=32 d=4.09413 t=2084
lei xing 	類型	c=5 d=0.384812 t=2084
li an 	李安	c=0 d=0.1 t=1919
li an gang 	李安剛	c=1 d=1 t=1920
li mian 	裏面	c=1 d=1 t=1483
li zhi 	理智	c=0 d=0.1 t=1976
li zhi 	離職	c=2 d=1.94649 t=1989
lian 	連	c=1 d=1 t=989
lian xi 	聯席	c=2 d=0.561728 t=2084
lian xi 	聯繫	c=0 d=0.019593 t=2084
lian xi zhu chi ren 	聯繫主持人	c=1 d=0.196912 t=2084
liang ci 	兩次	c=1 d=0.722527 t=2084
liang ge 	兩個	c=1 d=1 t=1305
ling ling 	玲玲	c=1 d=1 t=1730
liu 	劉	c=0 d=0.0494109 t=2084
liu meng 	劉孟	c=1 d=1 t=975
liu ren 	劉仁	c=4 d=0.964247 t=2084
liu tong qing 	劉同慶	c=3 d=1.02652 t=2084
luo ji 	邏輯	c=5 d=0.882735 t=2084
ma 	嗎	c=2 d=1.7281 t=2084
ma 	馬	c=1 d=0.66365 t=2084
mai de 	買的	c=1 d=1 t=1254
mao hao 	冒號	c=1 d=0.67032 t=2084
me 	麼	c=20 d=3.15753 t=2084
mei 	沒	c=0 d=0.100148 t=1912
mei de 	沒得	c=1 d=0.687289 t=2084
mei fa 	沒法	c=6 d=1.39191 t=1565
mei gan 	沒敢	c=1 d=1 t=991
mei gao dong 	沒搞懂	c=1 d=1 t=610
mei ge 	每個	c=1 d=1 t=1131
mei guan xi 	沒關係	c=1 d=0.40657 t=2084
mei ju 	枚舉	c=1 d=1 t=1151
mei nong hao 	沒弄好	c=1 d=1 t=1913
mei pan kong 	沒判空	c=1 d=1 t=1930
mei shang 	沒上	c=1 d=1 t=1159
mei wen ti 	沒問題	c=1 d=1 t=1308
mei you 	沒有	c=20 d=4.66118 t=2084
mi ma 	密碼	c=1 d=1 t=629
miao shu 	描述	c=2 d=1.93239 t=587
miao zhong 	秒鐘	c=1 d=0.951229 t=2084
ming ling 	命令	c=1 d=1 t=1871
ming tian 	明天	c=2 d=1.99501 t=1692
mo kuai 	模塊	c=1 d=1 t=1361
mo ren 	默認	c=1 d=0.460704 t=2084
mo shi 	模式	c=6 d=0.54136 t=2084
na 	那	c=2 d=0.637628 t=2084
na ci 	哪次	c=2 d=1.69768 t=1544
na ci 	那次	c=1 d=1 t=1554
na duan 	那段	c=1 d=1 t=799
na ge 	哪個	c=1 d=1 t=1066
na ge 	那個	c=8 d=2.30724 t=2061
na me 	那麼	c=1 d=1 t=701
na wo 	那我	c=1 d=0.941765 t=2084
ne 	呢	c=3 d=1.05171 t=1754
nei 	內	c=1 d=1 t=1384
neng 	能	c=6 d=1.84893 t=2077
ni 	你	c=15 d=2.04719 t=2084
ni ba 	你把	c=1 d=1 t=1475
ni bang 	你幫	c=3 d=1.34401 t=2084
ni hao ma 	你好嗎	c=5 d=3.49826 t=2084
ni qing jia 	你請假	c=1 d=1 t=1462
ni wen xia 	你問下	c=3 d=2.11973 t=1986
ni xian rang 	你先讓	c=1 d=1 t=1593
ni yao 	你要	c=1 d=1 t=1148
ni zai 	你在	c=2 d=1.02294 t=1878
ni zhao 	你找	c=1 d=1 t=839
ni zhe ge 	你這個	c=1 d=0.324652 t=2084
nong hao 	弄好	c=0 d=0.1 t=1912
pan duan 	判斷	c=2 d=1.12938 t=1097
pei zhi 	配置	c=1 d=0.873716 t=2084
ping lu 	平陸	c=1 d=1 t=2050
ping lun 	評論	c=3 d=2.92654 t=2056
ping tai 	平臺	c=2 d=1.06489 t=1256
pu tong 	普通	c=1 d=1 t=1653
qi chuan 	氣喘	c=0 d=0.0657047 t=2084
qi ta 	其他	c=4 d=1.12152 t=1818
qian 	前	c=4 d=0.790571 t=2084
qie huan 	切換	c=3 d=0.0839457 t=2084
qie huan shu ru fa 	切換輸入法	c=1 d=0.843665 t=2084
qin 	秦	c=1 d=1 t=2016
qin fei 	秦菲	c=8 d=1.91106 t=1260
qing 	請	c=0 d=0.1 t=740
qing chu 	清楚	c=1 d=0.105248 t=1642
qing jia 	請假	c=1 d=0.734448 t=1461
qing qing 	輕輕	c=1 d=0.241714 t=2084
qing qiu 	請求	c=7 d=0.508728 t=2084
qing wen xia 	請問下	c=1 d=1 t=741
qiu 	求	c=2 d=1.01682 t=1557
qu 	去	c=6 d=2.66027 t=1843
qu fen 	區分	c=2 d=1.8781 t=1221
quan 	全	c=1 d=0.863379 t=1999
quan bu 	全部	c=1 d=1 t=1947
quan ju 	全局	c=1 d=1 t=1126
quan shi yun hui yi 	全時雲會議	c=1 d=1 t=2000
quan ti 	全體	c=5 d=0.897476 t=2084
quan xian 	權限	c=3 d=1.94145 t=1812
que ding 	確定	c=1 d=1 t=1916
rang 	讓	c=5 d=1.21445 t=2084
ren 	人	c=3 d=1.27427 t=1368
ri 	日	c=1 d=0.965605 t=2084
ri me 	日麼	c=1 d=1 t=892
ri zhi 	日誌	c=6 d=2.77124 t=2084
rong qi 	容器	c=0 d=0.1 t=1778
rong qi hua 	容器話	c=2 d=1.73712 t=1840
ru guo 	如果	c=1 d=1 t=1558
ru hui 	入會	c=5 d=0.970446 t=2084
ruan jian 	軟件	c=1 d=1 t=1013
sha 	啥	c=1 d=1 t=986
sha shi hou 	啥時候	c=1 d=1 t=596
sha yi si 	啥意思	c=2 d=1.85642 t=607
shang 	上	c=5 d=0.733447 t=2084
shang ci 	上次	c=2 d=0.970446 t=2084
shang mian 	上面	c=3 d=0.499074 t=2084
shang qu 	上去	c=2 d=1.86071 t=1795
shang xian 	上線	c=9 d=2.71596 t=2084
shao 	少	c=0 d=0.0744532 t=2084
shao deng 	稍等	c=0 d=0.0748264 t=2084
shao deng xia 	少燈下	c=1 d=0.748264 t=2084
shao deng xia 	稍等下	c=2 d=0.752014 t=2084
shao wei 	稍微	c=1 d=1 t=732
she zhi 	設置	c=2 d=1.02535 t=1620
shen me 	什麼	c=2 d=0.343101 t=2084
shi 	是	c=39 d=3.36526 t=2084
shi 	時	c=0 d=0.1 t=1999
shi bu 	是不	c=1 d=1 t=1983
shi fou 	是否	c=3 d=0.794534 t=2084
shi hou 	時候	c=2 d=1.06721 t=1402
shi ji shang 	實際上	c=1 d=1 t=1959
shi jian 	時間	c=3 d=0.909373 t=2084
shi jian chuo 	時間戳	c=1 d=1 t=1485
shi jian duan 	時間段	c=1 d=1 t=1282
shi li 	實例	c=1 d=1 t=1994
shi pin 	視頻	c=1 d=1 t=1973
shi xia 	試下	c=2 d=0.767359 t=2084
shi xian 	實現	c=2 d=1.96561 t=1112
shi yong 	使用	c=3 d=1.0047 t=2048
shi zai 	是在	c=1 d=0.904837 t=2084
shou dao 	收到	c=5 d=0.719607 t=2084
shou dao de 	收到的	c=1 d=1 t=1549
shu ju 	數據	c=4 d=0.631284 t=2084
shu ru 	輸入	c=4 d=2.74848 t=883
shu ru fa 	輸入法	c=3 d=1.22803 t=2084
shu xing 	屬性	c=1 d=0.869358 t=2084
shu zi 	數字	c=1 d=1 t=703
shuo 	說	c=2 d=1.96561 t=1860
shuo de 	說的	c=1 d=1 t=2023
shuo le 	說了	c=1 d=0.532592 t=2084
shuo ming 	說明	c=1 d=0.650509 t=2084
shuo xia 	說下	c=1 d=1 t=876
si you 	私有	c=0 d=0.1 t=2074
si you bao 	私有包	c=1 d=1 t=2075
sou 	搜	c=1 d=1.07153 t=1149
sou bu dao 	搜不到	c=2 d=1.11136 t=1522
sou suo 	搜索	c=2 d=0.918512 t=2084
su zhou 	蘇州	c=1 d=0.806541 t=2084
suan le 	算了	c=1 d=0.440432 t=2084
suo yi 	所以	c=3 d=1.26324 t=1207
suo you 	所有	c=3 d=0.674422 t=2084
ta 	他	c=5 d=2.02155 t=1976
ta men 	他們	c=1 d=0.798516 t=2084
ta neng 	他能	c=1 d=1 t=1749
tai 	太	c=1 d=1 t=1915
tai da 	太大	c=0 d=0.1 t=1115
tai duo 	太多	c=0 d=0.1 t=1467
tai duo le 	太多了	c=1 d=1 t=1468
tai lao 	太老	c=1 d=1 t=1012
tao 	桃	c=2 d=0.715338 t=2084
tao lun 	討論	c=6 d=3.55072 t=1439
tao lun xia 	討論下	c=1 d=1 t=615
tao qin 	桃琴	c=1 d=0.19398 t=2084
te ding 	特定	c=3 d=1.76066 t=2084
ti ce 	提測	c=1 d=1 t=941
ti diao 	踢掉	c=1 d=1 t=636
ti gong 	提供	c=1 d=1 t=2045
ti jiao 	提交	c=3 d=0.805506 t=2084
ti jiao le 	提交了	c=4 d=0.97925 t=2084
tian jia 	添加	c=9 d=1.32707 t=2084
tian lei 	田磊	c=4 d=1.21058 t=2084
tiao ban 	跳板	c=1 d=1 t=1793
tiao shi 	調試	c=1 d=1 t=1767
tie 	貼	c=1 d=1 t=1542
tie xia 	貼下	c=3 d=1.19942 t=2084
ting zhi 	停止	c=1 d=1 t=1993
tong 	同	c=0 d=0.1 t=1670
tong bu 	同步	c=14 d=3.35545 t=1801
tong guo 	通過	c=1 d=1 t=1941
tong le 	通了	c=1 d=1 t=1661
tong qing 	同慶	c=0 d=0.0494109 t=2084
tong shi 	同事	c=1 d=1 t=832
tong shi 	同時	c=1 d=1 t=831
tong zhi 	通知	c=10 d=3.43818 t=2084
tui 	退	c=1 d=1 t=1923
tui chu 	退出	c=6 d=3.50879 t=901
tui hui 	退會	c=1 d=1 t=915
tui huo 	退貨	c=1 d=1 t=914
wai hu 	外呼	c=6 d=0.900325 t=2084
wai hu 	外戶	c=4 d=1.71456 t=2084
wang 	往	c=1 d=1 t=1378
wang 	王	c=2 d=0.459421 t=2084
wang chong 	王衝	c=1 d=1 t=557
wang jian 	王堅	c=6 d=1.57605 t=2038
wang ke qin 	王克欽	c=1 d=0.67032 t=2084
wei 	爲	c=1 d=0.267135 t=2084
wei le 	爲了	c=1 d=1 t=1231
wei sha 	爲啥	c=1 d=1 t=1579
wen 	問	c=1 d=1 t=829
wen ge 	問個	c=1 d=1 t=822
wen ti 	問題	c=14 d=2.09856 t=2084
wen xia 	問下	c=2 d=0.993466 t=2084
wo 	我	c=24 d=6.06734 t=2084
wo ba 	我把	c=1 d=1 t=1018
wo de 	我的	c=1 d=0.794534 t=2084
wo dou 	我都	c=1 d=1 t=609
wo gai 	我改	c=1 d=0.913931 t=2084
wo gai 	我該	c=1 d=0.909373 t=2084
wo gei 	我給	c=1 d=0.527292 t=2084
wo gen 	我跟	c=1 d=1 t=1259
wo hen hao de 	我很好的	c=1 d=0.826959 t=2084
wo men 	我們	c=2 d=1.05182 t=1845
wo rang 	我讓	c=1 d=1 t=671
wo tian jia 	我添加	c=2 d=0.852144 t=2084
wo xian 	我先	c=2 d=0.202978 t=2084
wo xian kan xia 	我先看下	c=1 d=0.606531 t=2084
wo xian zai 	我現在	c=1 d=0.839457 t=2084
wo yao 	我要	c=2 d=0.878095 t=2084
wo yong 	我用	c=1 d=1 t=993
wo yue ge 	我約個	c=1 d=1 t=1340
wo zai 	我再	c=1 d=1 t=1971
wo zhe bian 	我這邊	c=2 d=1.30575 t=2006
wu fa 	無法	c=1 d=0.909373 t=2084
xi ma 	西馬	c=1 d=1 t=964
xi tong 	系統	c=1 d=1 t=1011
xia 	下	c=18 d=2.0687 t=2084
xia lai 	下來	c=2 d=1.33287 t=1771
xia mian 	下面	c=2 d=1.00583 t=1817
xia zai 	下載	c=1 d=1 t=1770
xia zhou 	下週	c=3 d=1.40092 t=2035
xian 	先	c=5 d=1.49405 t=2084
xian gai wei 	先改爲	c=1 d=0.955997 t=2084
xian rang 	先讓	c=1 d=0.611709 t=1592
xian shao 	鮮少	c=0 d=0.0737123 t=2084
xian shao deng xia 	鮮少燈下	c=1 d=0.740818 t=2084
xian shi 	顯示	c=3 d=2.36303 t=1847
xian shi bu chu lai 	顯示不出來	c=1 d=1 t=1848
xian xia 	線下	c=1 d=1 t=681
xian you 	現有	c=1 d=1 t=1334
xian zai 	現在	c=17 d=1.65199 t=2084
xiang 	像	c=1 d=0.466045 t=1412
xiang 	向	c=1 d=0.634448 t=2084
xiang 	項	c=0 d=0.1 t=652
xiao feng 	小峯	c=2 d=0.676782 t=2084
xiao xi 	消息	c=3 d=0.362402 t=2084
xie 	些	c=3 d=1.74334 t=2084
xie de 	寫的	c=1 d=1 t=608
xin de 	新的	c=3 d=0.778801 t=2084
xin ling 	信令	c=3 d=0.427415 t=2084
